Points,Expansions,PlayerCount,Platform,factionsInGame.1,factionsInGame.2,factionsInGame.3,factionsInGame.4,factionsInGame.5,factionsInGame.6,factionsInGame.7,factionsInGame.8,WinningFaction,Index
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Vuil'raith Cabal"," Nomad"," Ghosts of Creuss"," Argent Flight"," Keleres ~ Mentak"," Universities of Jol-Nar","","","Ghosts of Creuss",401
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Arborec"," Last Bastion"," Mentak Coalition"," Embers of Muaat"," Keleres ~ Xxcha"," Clan of Saar","","","Last Bastion",405
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Yin Brotherhood"," Last Bastion"," Naaz-Rokha Alliance"," Crimson Rebellion"," Ghosts of Creuss"," Sardakk N'orr","","","Sardakk N'orr",406
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Ghosts of Creuss"," Crimson Rebellion"," Nomad"," Keleres ~ Mentak"," Yssaril Tribes"," Federation of Sol","","","Keleres ~ Mentak",407
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Winnu"," Emirates of Hacan"," Titans of Ul"," Mentak Coalition"," Arborec"," Yssaril Tribes","","","Arborec",408
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Naaz-Rokha Alliance"," L1Z1X Mindnet"," Nekro Virus"," Universities of Jol-Nar"," Emirates of Hacan"," Vuil'raith Cabal","","","Nekro Virus",409
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Clan of Saar"," Mahact Gene-Sorcerers"," Naalu Collective"," Firmament"," Barony of Letnev"," Vuil'raith Cabal","","","Naalu Collective",410
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Universities of Jol-Nar"," Empyrean"," Titans of Ul"," Xxcha Kingdom"," Mahact Gene-Sorcerers"," Crimson Rebellion","","","Titans of Ul",412
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Keleres ~ Mentak"," Deepwrought Scholarate"," Clan of Saar"," Crimson Rebellion"," Embers of Muaat"," Yin Brotherhood","","","Keleres ~ Mentak",416
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Crimson Rebellion"," Universities of Jol-Nar"," Vuil'raith Cabal"," Sardakk N'orr"," Yssaril Tribes"," Mahact Gene-Sorcerers","","","Yssaril Tribes",420
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Ghosts of Creuss"," Naalu Collective"," Clan of Saar"," Naaz-Rokha Alliance"," Yssaril Tribes"," Nomad","","","Nomad",422
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Clan of Saar"," Embers of Muaat"," L1Z1X Mindnet"," Nekro Virus"," Sardakk N'orr"," Yssaril Tribes","","","Yssaril Tribes",425
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Sardakk N'orr"," Barony of Letnev"," Argent Flight"," Embers of Muaat"," Nekro Virus"," Universities of Jol-Nar","","","Embers of Muaat",427
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Naaz-Rokha Alliance"," Barony of Letnev"," Xxcha Kingdom"," Argent Flight"," Emirates of Hacan"," Yin Brotherhood","","","Naaz-Rokha Alliance",428
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Naalu Collective"," Yssaril Tribes"," Titans of Ul"," Emirates of Hacan"," Ghosts of Creuss"," Argent Flight","","","Titans of Ul",431
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Yssaril Tribes"," Deepwrought Scholarate"," Xxcha Kingdom"," Yin Brotherhood"," Embers of Muaat"," Vuil'raith Cabal","","","Yssaril Tribes",432
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Firmament"," Emirates of Hacan"," Embers of Muaat"," Ral Nel Consortium"," Mahact Gene-Sorcerers"," Argent Flight","","","Ral Nel Consortium",433
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Firmament"," Arborec"," Winnu"," Naaz-Rokha Alliance"," Embers of Muaat"," L1Z1X Mindnet","","","Winnu",434
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Ral Nel Consortium"," Barony of Letnev"," Titans of Ul"," Naaz-Rokha Alliance"," Embers of Muaat"," Argent Flight","","","Naaz-Rokha Alliance",435
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Embers of Muaat"," Clan of Saar"," Deepwrought Scholarate"," Emirates of Hacan"," Mentak Coalition"," Universities of Jol-Nar","","","Universities of Jol-Nar",449
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Mentak Coalition"," Deepwrought Scholarate"," Vuil'raith Cabal"," Mahact Gene-Sorcerers"," Arborec"," Argent Flight","","","Mentak Coalition",453
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Mahact Gene-Sorcerers"," Titans of Ul"," Naaz-Rokha Alliance"," Deepwrought Scholarate"," Yin Brotherhood"," L1Z1X Mindnet","","","Naaz-Rokha Alliance",457
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Embers of Muaat"," Emirates of Hacan"," Argent Flight"," Firmament"," Sardakk N'orr"," Mahact Gene-Sorcerers","","","Emirates of Hacan",459
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Emirates of Hacan"," Arborec"," Clan of Saar"," Titans of Ul"," Mahact Gene-Sorcerers"," Crimson Rebellion","","","Mahact Gene-Sorcerers",460
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Yssaril Tribes"," Ghosts of Creuss"," Winnu"," Nomad"," Nekro Virus"," Mahact Gene-Sorcerers","","","Mahact Gene-Sorcerers",461
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Yin Brotherhood"," Emirates of Hacan"," Argent Flight"," Naaz-Rokha Alliance"," Arborec"," Clan of Saar","","","Clan of Saar",462
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Xxcha Kingdom"," Nekro Virus"," Naaz-Rokha Alliance"," Emirates of Hacan"," Argent Flight"," Nomad","","","Nekro Virus",472
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Embers of Muaat"," Emirates of Hacan"," Naaz-Rokha Alliance"," Universities of Jol-Nar"," Naalu Collective"," Vuil'raith Cabal","","","Emirates of Hacan",478
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Naalu Collective"," Nekro Virus"," Naaz-Rokha Alliance"," Winnu"," Yin Brotherhood"," Emirates of Hacan","","","Nekro Virus",480
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Embers of Muaat"," Crimson Rebellion"," Yin Brotherhood"," Clan of Saar"," Keleres ~ Mentak"," Last Bastion","","","Embers of Muaat",491
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Clan of Saar"," Crimson Rebellion"," Winnu"," Keleres ~ Mentak"," Barony of Letnev"," Xxcha Kingdom","","","Winnu",495
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Nomad"," Crimson Rebellion"," Keleres ~ Mentak"," Last Bastion"," Nekro Virus"," Federation of Sol","","","Keleres ~ Mentak",496
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Universities of Jol-Nar"," Yin Brotherhood"," Empyrean"," Naalu Collective"," Barony of Letnev"," Vuil'raith Cabal","","","Vuil'raith Cabal",500
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Empyrean"," Ghosts of Creuss"," Embers of Muaat"," Universities of Jol-Nar"," Arborec"," Crimson Rebellion","","","Empyrean",501
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Barony of Letnev"," Mentak Coalition"," Embers of Muaat"," Nomad"," Sardakk N'orr"," Emirates of Hacan","","","Emirates of Hacan",504
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Deepwrought Scholarate"," Yin Brotherhood"," Ghosts of Creuss"," Keleres ~ Mentak"," Mahact Gene-Sorcerers"," Empyrean","","","Keleres ~ Mentak",506
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Vuil'raith Cabal"," Argent Flight"," Naaz-Rokha Alliance"," Ral Nel Consortium"," Sardakk N'orr"," Barony of Letnev","","","Ral Nel Consortium",507
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Titans of Ul"," Ghosts of Creuss"," Sardakk N'orr"," Ral Nel Consortium"," Firmament"," Embers of Muaat","","","Ral Nel Consortium",514
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Titans of Ul"," Federation of Sol"," Nomad"," Winnu"," Universities of Jol-Nar"," Embers of Muaat","","","Titans of Ul",515
10,"Prophecy of Kings and Thunder's Edge",6,"Async","Argent Flight"," Deepwrought Scholarate"," Titans of Ul"," Naalu Collective"," Mahact Gene-Sorcerers"," Yssaril Tribes","","","Deepwrought Scholarate",522
